source_id,bp_min_flux,bp_max_flux,rp_min_flux,rp_max_flux,percentage_change_bp,percentage_change_rp,max_percentage_change
4038151345803245824,22335.014440124487,184585.08275876901,26371.23957398674,30334.260420222858,726.4381617195866,15.027814051431026,726.4381617195866
4038151547603817088,312.945137676195,61893.51321659108,51138.21199735203,617994.2304661258,19677.751997103223,1108.4783693613024,19677.751997103223
4038151822505718272,484.97123590713244,762.8359384380145,409.2247980333355,2088.342217663404,57.2950892667149,410.3166346955561,410.3166346955561
4038151861199289216,1542.5116343623904,174206.45810737117,3520.814779418548,164456.55495558272,11193.688438167328,4570.980021923852,11193.688438167328
4038152303518100352,1116.1697907287387,145464.3259349627,1935.8995172219222,111340.77761242012,12932.455021022397,5651.371732981146,12932.455021022397
4038152372235557632,43709.457085981136,90677.86771576002,258082.46491650323,470105.68203348026,107.45594606079649,82.153282744557,107.45594606079649
4038152410933655680,88.5945597034337,663.3692752177404,165.37440718837476,791.1035464700876,648.769763559229,378.3712062344429,648.769763559229
4038152647115600640,3401.6293173725944,182441.1306483687,3716.421519738266,162099.26652721938,5263.345433219794,4261.702935641042,5263.345433219794
4038152681477782400,739.9491202505875,1607.077948870858,1281.2296936686753,1646.717953882174,117.18762883677908,28.526365102182343,117.18762883677908
4038153334310348928,1832.9724719106393,133853.15031864878,2030.788761817002,3840.0981674239665,7202.518306732888,89.09392447041739,7202.518306732888
4038153677907849600,1283.2616088718287,154185.04096778872,1390.4856416688683,148334.2750745502,11915.090290384322,10567.803437115583,11915.090290384322
4038153746629709440,581.0980712716818,1172.2958005815387,1257.7766434882121,113262.77298061686,101.7380298675012,8904.99890556907,8904.99890556907
4038154232006736640,389.04712639584716,685.8977138836365,502.8465654953501,3039.0379128181985,76.3019612142695,504.3668429602311,504.3668429602311
4038154644338663040,784.737878103779,217947.67069252857,1410.1432109002033,204131.8926215023,27673.308358604005,14375.968897597937,27673.308358604005
4038154983577774208,1206.5823173603583,1966.2239037485651,1383.744103316537,6365.510944835792,62.9581235742022,360.02081812518884,360.02081812518884
4038155395894784256,770.6810491668841,2955.2407632184736,2034.6246219910697,2225.7816594929836,283.458340699194,9.395199263579586,283.458340699194
4038155812569889152,51.18668195320027,1760.496800649289,236.92987369555405,2709.558600469472,3339.3649548507606,1043.612056262332,3339.3649548507606
4038156053065058432,133.45398394950453,4860.493581562177,189.72178266391148,4490.798991022179,3542.074547134733,2267.0444837520545,3542.074547134733
4038156186168839424,2809.0266325747693,141773.6113075491,4420.809130841398,100532.69811749096,4947.072521971734,2174.0791366931717,4947.072521971734
4038156293606222080,7732.245394576835,12318.220867676597,7188.930261299212,26611.073963292525,59.309750778424956,270.1673683851158,270.1673683851158
4038156362325714048,31641.827381428273,278987.94710646156,161425.2210313865,271216.1017103434,781.7061787974029,68.01346157525772,781.7061787974029
4038156431045166720,3533.03681449772,129692.70859293292,7128.718369306018,128979.20119996341,3570.856416234963,1709.2901769735583,3570.856416234963
4038156461083408768,106.94899619253556,3912.358060053513,212.79785895573858,689.4190440410987,3558.153137791277,223.97837432400866,3558.153137791277
4038156774619040128,135.21159784857875,320.6084292122846,220.00500840076077,532.867923889299,137.11607163412765,142.20717871959883,142.20717871959883
4038156873363623040,2759.8115817921876,6516.082566836896,7498.095007453972,8457.631708167992,136.1060664368048,12.797073120040878,136.1060664368048
4038157113881783680,5782.2473482920395,41512.851562239266,8355.489385001165,37893.42865018113,617.936280856289,353.5153706041821,617.936280856289
4038157182598981120,13539.350124283052,60260.648914134734,152858.28944113496,358699.1866546036,345.0778535230893,134.66125910871,345.0778535230893
4038157496173911040,97.77436477601773,322.4844614109278,306.61519486526043,606.1730915441333,229.82516649397587,97.69832079278105,229.82516649397587
4038157564916437632,5354.7885303411185,115632.74833269241,98836.87081548656,198065.83569447752,2059.4269816165124,100.3967082934428,2059.4269816165124
4038157599276200832,245.26333942061206,1716.6601057296427,446.76694795691924,2056.817806890659,599.9252761480478,360.37823887746356,599.9252761480478
4038157801076637440,2465.843970885528,8595.832440240147,2901.871297784572,7617.900166417073,248.59595910090096,162.5168170701762,248.59595910090096
4038157904182659328,333.9672631043891,592.3929249897881,479.52182386611946,2242.1913208116343,77.38053708714023,367.58900413209244,367.58900413209244
4038157942851036928,63.1259436591789,608.6899847753338,185.0357038381565,3143.0188222032357,864.2469474384269,1598.6012737046203,1598.6012737046203
4038158458269712256,1298.2130066277975,1979.2979038748067,1476.0711921998586,6761.3031851647565,52.46326248233921,358.06077788755346,358.06077788755346
4038158591350823168,1261.3003021394045,90549.87829881134,88998.61210235808,633394.5364619788,7079.089559022666,611.6903528040485,7079.089559022666
4038158831868655232,4852.372092698341,6199.4223882035685,5259.884973804837,504798.94671426003,27.76065540258581,9497.148021834102,9497.148021834102
4038159351600758272,251.6953678567582,97206.20501153936,578.6354879454271,82643.71598801155,38520.577660714116,14182.517700643677,38520.577660714116
4038159587783026816,32855.40698588941,34320.17987382141,31120.6500735662,107485.03721887185,4.458239974202997,245.3817223123156,245.3817223123156
4038159798278036224,1601.363999510344,5319.069686481351,1855.6067813369334,2332.354457085644,232.1586902233212,25.69227923413935,232.1586902233212
4038159862685907456,233.47034011284737,204756.0535383831,304.19879409417,170310.01808329698,87601.0987517364,55886.42117909729,87601.0987517364
4038160137538867328,18693.76634653149,183493.1296458908,166120.81460127403,361434.20809330826,881.5738906993282,117.57310121602083,881.5738906993282
4038160309362656128,1654.5682207252773,159453.94829288404,1875.7003395490385,2801.3536145104827,9537.19393951539,49.34974182411208,9537.19393951539
4038160348034505216,451.72873767503927,146060.37891706062,445.8309116124627,105545.78136973866,32233.647770297994,23573.948714772843,32233.647770297994
4038160378057153920,1931.910588748748,6216.276660678078,112959.19599945167,234780.61698158298,221.76834149991436,107.84550996868167,221.76834149991436
4038160691631828096,5427.779535180239,6164.978764915535,9215.720157649203,18883.690657902625,13.581967081697549,104.90737929177291,104.90737929177291
4038160760372434304,3253.001629876832,188450.7848872314,4370.359834097277,184936.94066788608,5693.135274093504,4131.618166198114,5693.135274093504
4038160794715393536,620.736890784236,2344.7060953221558,856.1362569590171,1416.442296561821,277.72945834745946,65.44589544577896,277.72945834745946
4038160824770735872,23.128234521682764,427.14734469634334,95.814228471616,1229.1380252829333,1746.8653294564785,1182.8345485733917,1746.8653294564785
4038160966508488576,84.27566835908345,920.9143346248737,148.7570214036874,6485.3766649473655,992.7404701212497,4259.711295474087,4259.711295474087
4038161035228036096,247.79244206959163,134325.06325000056,268.3267152313517,199374.64643939945,54108.70068840753,74202.94306234036,74202.94306234036
4038161172667191424,220.03327380657677,856.409528642922,358.51218868083697,2135.9191912261563,289.21819133398907,495.773103024858,495.773103024858
4038161241408652288,2162.85786209462,220818.74903584074,4489.073817892791,5282.319096483352,10109.582095329593,17.67057773540727,10109.582095329593
4038161619365744384,4856.437940875828,6069.504194432089,4573.905223507986,9785.836077057942,24.978518583468045,113.94925340303908,113.94925340303908
4038161752446819456,824.7180918334788,1360.0117749098886,1766.1569539566467,107981.28756372292,64.90626171257712,6013.912318031363,6013.912318031363
4038161894222089600,391.25434389441546,1595.6775908820368,499.7213899121227,557.3148186560957,307.83638975076764,11.525107771372554,307.83638975076764
4038162096046325888,287.2705936978263,514.8858687437473,605.3148482692122,5411.904044112815,79.2337538332742,794.0643137347731,794.0643137347731
4038162169100437248,108.6693967234168,301.5049477275997,277.24656009919426,470.6042815840279,177.45157037632603,69.7421534880914,177.45157037632603
